Français,Anglais,Type
Métamorph,Ditto,Pokémon
Évoli,Eevee,Pokémon
Aquali,Vaporeon,Pokémon
Voltali,Jolteon,Pokémon
Pyroli,Flareon,Pokémon
Porygon,Porygon,Pokémon
Amonita,Omanyte,Pokémon
Amonistar,Omastar,Pokémon
Kabuto,Kabuto,Pokémon
Kabutops,Kabutops,Pokémon
Ptéra,Aerodactyl,Pokémon
Ronflex,Snorlax,Pokémon
Artikodin,Articuno,Pokémon
Électhor,Zapdos,Pokémon
Sulfura,Moltres,Pokémon
Minidraco,Dratini,Pokémon
Draco,Dragonair,Pokémon
Dracolosse,Dragonite,Pokémon
Mewtwo,Mewtwo,Pokémon
Mew,Mew,Pokémon
Germignon,Chikorita,Pokémon
Macronium,Bayleef,Pokémon
Méganium,Meganium,Pokémon
Héricendre,Cyndaquil,Pokémon
Feurisson,Quilava,Pokémon
Typhlosion,Typhlosion,Pokémon
Kaiminus,Totodile,Pokémon
Crocrodil,Croconaw,Pokémon
Aligatueur,Feraligatr,Pokémon
Fouinette,Sentret,Pokémon
Fouinar,Furret,Pokémon
Hoothoot,Hoothoot,Pokémon
Noarfang,Noctowl,Pokémon
Coxy,Ledyba,Pokémon
Coxyclaque,Ledian,Pokémon
Mimigal,Spinarak,Pokémon
Migalos,Ariados,Pokémon
Nostenfer,Crobat,Pokémon
Loupio,Chinchou,Pokémon
Lanturn,Lanturn,Pokémon
Pichu,Pichu,Pokémon
Mélo,Cleffa,Pokémon
Toudoudou,Igglybuff,Pokémon
Togepi,Togepi,Pokémon
Togetic,Togetic,Pokémon
Natu,Natu,Pokémon
Xatu,Xatu,Pokémon
Wattouat,Mareep,Pokémon
Lainergie,Flaaffy,Pokémon
Pharamp,Ampharos,Pokémon
Joliflor,Bellossom,Pokémon
Marill,Marill,Pokémon
Azumarill,Azumarill,Pokémon
Simularbre,Sudowoodo,Pokémon
Tarpaud,Politoed,Pokémon
Granivol,Hoppip,Pokémon
Floravol,Skiploom,Pokémon
Cotovol,Jumpluff,Pokémon
Capumain,Aipom,Pokémon
Tournegrin,Sunkern,Pokémon
Héliatronc,Sunflora,Pokémon
Yanma,Yanma,Pokémon
Axoloto,Wooper,Pokémon
Maraiste,Quagsire,Pokémon
Mentali,Espeon,Pokémon
Noctali,Umbreon,Pokémon
Cornèbre,Murkrow,Pokémon
Roigada,Slowking,Pokémon
Feuforêve,Misdreavus,Pokémon
Zarbi,Unown,Pokémon
Qulbutoké,Wobbuffet,Pokémon
Girafarig,Girafarig,Pokémon
Pomdepik,Pineco,Pokémon
Foretress,Forretress,Pokémon
Insolourdo,Dunsparce,Pokémon
Scorplane,Gligar,Pokémon
Steelix,Steelix,Pokémon
Snubbull,Snubbull,Pokémon
Granbull,Granbull,Pokémon
Qwilfish,Qwilfish,Pokémon
Cizayox,Scizor,Pokémon
Caratroc,Shuckle,Pokémon
Scarhino,Heracross,Pokémon
Farfuret,Sneasel,Pokémon
Teddiursa,Teddiursa,Pokémon
Ursaring,Ursaring,Pokémon
Limagma,Slugma,Pokémon
Volcaropod,Magcargo,Pokémon
Marcacrin,Swinub,Pokémon
Cochignon,Piloswine,Pokémon
Corayon,Corsola,Pokémon
Rémoraid,Remoraid,Pokémon
Octillery,Octillery,Pokémon
Cadoizo,Delibird,Pokémon
Démanta,Mantine,Pokémon
Airmure,Skarmory,Pokémon
Malosse,Houndour,Pokémon
Démolosse,Houndoom,Pokémon
Hyporoi,Kingdra,Pokémon
Phanpy,Phanpy,Pokémon
Donphan,Donphan,Pokémon
Porygon2,Porygon2,Pokémon
Cerfrousse,Stantler,Pokémon
Queulorior,Smeargle,Pokémon
Debugant,Tyrogue,Pokémon
Kapoera,Hitmontop,Pokémon
Lippouti,Smoochum,Pokémon
Élekid,Elekid,Pokémon
Magby,Magby,Pokémon
Écrémeuh,Miltank,Pokémon
Leuphorie,Blissey,Pokémon
Raikou,Raikou,Pokémon
Entei,Entei,Pokémon
Suicune,Suicune,Pokémon
Embrylex,Larvitar,Pokémon
Ymphect,Pupitar,Pokémon
Tyranocif,Tyranitar,Pokémon
Lugia,Lugia,Pokémon
Ho-Oh,Ho-Oh,Pokémon
Celebi,Celebi,Pokémon
Arcko,Treecko,Pokémon
Massko,Grovyle,Pokémon
Jungko,Sceptile,Pokémon
Poussifeu,Torchic,Pokémon
Galifeu,Combusken,Pokémon
Braségali,Blaziken,Pokémon
Gobou,Mudkip,Pokémon
Flobio,Marshtomp,Pokémon
Laggron,Swampert,Pokémon
Medhyèna,Poochyena,Pokémon
Grahyèna,Mightyena,Pokémon
Zigzaton,Zigzagoon,Pokémon
Linéon,Linoone,Pokémon
Chenipotte,Wurmple,Pokémon
Armulys,Silcoon,Pokémon
Charmillon,Beautifly,Pokémon
Blindalys,Cascoon,Pokémon
Papinox,Dustox,Pokémon
Nénupiot,Lotad,Pokémon
Lombre,Lombre,Pokémon
Ludicolo,Ludicolo,Pokémon
Grainipiot,Seedot,Pokémon
Pifeuil,Nuzleaf,Pokémon
Tengalice,Shiftry,Pokémon
Nirondelle,Taillow,Pokémon
Hélédelle,Swellow,Pokémon
Goélise,Wingull,Pokémon
Bekipan,Pelipper,Pokémon
Tarsal,Ralts,Pokémon
Kirlia,Kirlia,Pokémon
Gardevoir,Gardevoir,Pokémon
Arakdo,Surskit,Pokémon
Maskadra,Masquerain,Pokémon
Balignon,Shroomish,Pokémon
Chapignon,Breloom,Pokémon
Parecool,Slakoth,Pokémon
Vigoroth,Vigoroth,Pokémon
Monaflèmit,Slaking,Pokémon
Ningale,Nincada,Pokémon
Ninjask,Ninjask,Pokémon
Munja,Shedinja,Pokémon
Chuchmur,Whismur,Pokémon
Ramboum,Loudred,Pokémon
Brouhabam,Exploud,Pokémon
Makuhita,Makuhita,Pokémon
Hariyama,Hariyama,Pokémon
Azurill,Azurill,Pokémon
Tarinor,Nosepass,Pokémon
Skitty,Skitty,Pokémon
Delcatty,Delcatty,Pokémon
Ténéfix,Sableye,Pokémon
Mysdibule,Mawile,Pokémon
Galekid,Aron,Pokémon
Galegon,Lairon,Pokémon
Galeking,Aggron,Pokémon
Méditikka,Meditite,Pokémon
Charmina,Medicham,Pokémon
Dynavolt,Electrike,Pokémon
Élecsprint,Manectric,Pokémon
Posipi,Plusle,Pokémon
Négapi,Minun,Pokémon
Muciole,Volbeat,Pokémon
Lumivole,Illumise,Pokémon
Rosélia,Roselia,Pokémon
Gloupti,Gulpin,Pokémon
Avaltout,Swalot,Pokémon
Carvanha,Carvanha,Pokémon
Sharpedo,Sharpedo,Pokémon
Wailmer,Wailmer,Pokémon
Wailord,Wailord,Pokémon
Chamallot,Numel,Pokémon
Camérupt,Camerupt,Pokémon
Chartor,Torkoal,Pokémon
Spoink,Spoink,Pokémon
Groret,Grumpig,Pokémon
Spinda,Spinda,Pokémon
Kraknoix,Trapinch,Pokémon
Vibraninf,Vibrava,Pokémon
Libégon,Flygon,Pokémon
Cacnea,Cacnea,Pokémon
Cacturne,Cacturne,Pokémon
Tylton,Swablu,Pokémon
Altaria,Altaria,Pokémon
Mangriff,Zangoose,Pokémon
Séviper,Seviper,Pokémon
Séléroc,Lunatone,Pokémon
Solaroc,Solrock,Pokémon
Barloche,Barboach,Pokémon
Barbicha,Whiscash,Pokémon
Écrapince,Corphish,Pokémon
Colhomard,Crawdaunt,Pokémon
Balbuto,Baltoy,Pokémon
Kaorine,Claydol,Pokémon
Lilia,Lileep,Pokémon
Vacilys,Cradily,Pokémon
Anorith,Anorith,Pokémon
Armaldo,Armaldo,Pokémon
Barpau,Feebas,Pokémon
Milobellus,Milotic,Pokémon
Morphéo,Castform,Pokémon
Kecleon,Kecleon,Pokémon
Polichombr,Shuppet,Pokémon
Branette,Banette,Pokémon
Skelénox,Duskull,Pokémon
Téraclope,Dusclops,Pokémon
Tropius,Tropius,Pokémon
Éoko,Chimecho,Pokémon
Absol,Absol,Pokémon
Okéoké,Wynaut,Pokémon
Stalgamin,Snorunt,Pokémon
Oniglali,Glalie,Pokémon
Obalie,Spheal,Pokémon
Phogleur,Sealeo,Pokémon
Kaimorse,Walrein,Pokémon
Coquiperl,Clamperl,Pokémon
Serpang,Huntail,Pokémon
Rosabyss,Gorebyss,Pokémon
Relicanth,Relicanth,Pokémon
Lovdisc,Luvdisc,Pokémon
Draby,Bagon,Pokémon
Drackhaus,Shelgon,Pokémon
Drattak,Salamence,Pokémon
Terhal,Beldum,Pokémon
Métang,Metang,Pokémon
Métalosse,Metagross,Pokémon
Regirock,Regirock,Pokémon
Regice,Regice,Pokémon
Registeel,Registeel,Pokémon
Latias,Latias,Pokémon
Latios,Latios,Pokémon
Kyogre,Kyogre,Pokémon
Groudon,Groudon,Pokémon
Rayquaza,Rayquaza,Pokémon
Jirachi,Jirachi,Pokémon
Deoxys,Deoxys,Pokémon
Tortipouss,Turtwig,Pokémon
Boskara,Grotle,Pokémon
Torterra,Torterra,Pokémon
Ouisticram,Chimchar,Pokémon
Chimpenfeu,Monferno,Pokémon
Simiabraz,Infernape,Pokémon
Tiplouf,Piplup,Pokémon
Prinplouf,Prinplup,Pokémon
Pingoléon,Empoleon,Pokémon
Étourmi,Starly,Pokémon
Étourvol,Staravia,Pokémon
Étouraptor,Staraptor,Pokémon
Keunotor,Bidoof,Pokémon
Castorno,Bibarel,Pokémon
Crikzik,Kricketot,Pokémon
Mélokrik,Kricketune,Pokémon
Lixy,Shinx,Pokémon
Luxio,Luxio,Pokémon
Luxray,Luxray,Pokémon
Rozbouton,Budew,Pokémon
Roserade,Roserade,Pokémon
Kranidos,Cranidos,Pokémon
Charkos,Rampardos,Pokémon
Dinoclier,Shieldon,Pokémon
Bastiodon,Bastiodon,Pokémon
Cheniti,Burmy,Pokémon
Cheniselle,Wormadam,Pokémon
Papilord,Mothim,Pokémon
Apitrini,Combee,Pokémon
Apireine,Vespiquen,Pokémon
Pachirisu,Pachirisu,Pokémon
Mustébouée,Buizel,Pokémon
Mustéflott,Floatzel,Pokémon
Ceribou,Cherubi,Pokémon
Ceriflor,Cherrim,Pokémon
Sancoki,Shellos,Pokémon
Tritosor,Gastrodon,Pokémon
Capidextre,Ambipom,Pokémon
Baudrive,Drifloon,Pokémon
Grodrive,Drifblim,Pokémon
Laporeille,Buneary,Pokémon
Lockpin,Lopunny,Pokémon
Magirêve,Mismagius,Pokémon
Corboss,Honchkrow,Pokémon
Chaglam,Glameow,Pokémon
Chaffreux,Purugly,Pokémon
Korillon,Chingling,Pokémon
Moufouette,Stunky,Pokémon
Moufflair,Skuntank,Pokémon
Archéomire,Bronzor,Pokémon
Archéodong,Bronzong,Pokémon
Manzaï,Bonsly,Pokémon
Mime Jr.,Mime Jr.,Pokémon
Ptiravi,Happiny,Pokémon
Pijako,Chatot,Pokémon
Spiritomb,Spiritomb,Pokémon
Griknot,Gible,Pokémon
Carmache,Gabite,Pokémon
Carchacrok,Garchomp,Pokémon
Goinfrex,Munchlax,Pokémon
Riolu,Riolu,Pokémon
Lucario,Lucario,Pokémon
Hippopotas,Hippopotas,Pokémon
Hippodocus,Hippowdon,Pokémon
Rapion,Skorupi,Pokémon
Drascore,Drapion,Pokémon
Cradopaud,Croagunk,Pokémon
Coatox,Toxicroak,Pokémon
Vortente,Carnivine,Pokémon
Écayon,Finneon,Pokémon
Luminéon,Lumineon,Pokémon
Babimanta,Mantyke,Pokémon
Blizzi,Snover,Pokémon
Blizzaroi,Abomasnow,Pokémon
Dimoret,Weavile,Pokémon
Magnézone,Magnezone,Pokémon
Coudlangue,Lickilicky,Pokémon
Rhinastoc,Rhyperior,Pokémon
Bouldeneu,Tangrowth,Pokémon
Élekable,Electivire,Pokémon
Maganon,Magmortar,Pokémon
Togekiss,Togekiss,Pokémon
Yanméga,Yanmega,Pokémon
Phyllali,Leafeon,Pokémon
Givrali,Glaceon,Pokémon
Scorvol,Gliscor,Pokémon
Mammochon,Mamoswine,Pokémon
Porygon-Z,Porygon-Z,Pokémon
Gallame,Gallade,Pokémon
Tarinorme,Probopass,Pokémon
Noctunoir,Dusknoir,Pokémon
Momartik,Froslass,Pokémon
Motisma,Rotom,Pokémon
Créhelf,Uxie,Pokémon
Créfollet,Mesprit,Pokémon
Créfadet,Azelf,Pokémon
Dialga,Dialga,Pokémon
Palkia,Palkia,Pokémon
Heatran,Heatran,Pokémon
Regigigas,Regigigas,Pokémon
Giratina,Giratina,Pokémon
Cresselia,Cresselia,Pokémon
Phione,Phione,Pokémon
Manaphy,Manaphy,Pokémon
Darkrai,Darkrai,Pokémon
Shaymin,Shaymin,Pokémon
Arceus,Arceus,Pokémon
Victini,Victini,Pokémon
Vipélierre,Snivy,Pokémon
Lianaja,Servine,Pokémon
Majaspic,Serperior,Pokémon
Gruikui,Tepig,Pokémon
Grotichon,Pignite,Pokémon
Roitiflam,Emboar,Pokémon
Moustillon,Oshawott,Pokémon
Mateloutre,Dewott,Pokémon
Clamiral,Samurott,Pokémon
Ratentif,Patrat,Pokémon
Miradar,Watchog,Pokémon
Ponchiot,Lillipup,Pokémon
Ponchien,Herdier,Pokémon
Mastouffe,Stoutland,Pokémon
Chacripan,Purrloin,Pokémon
Léopardus,Liepard,Pokémon
Feuillajou,Pansage,Pokémon
Feuiloutan,Simisage,Pokémon
Flamajou,Pansear,Pokémon
Flamoutan,Simisear,Pokémon
Flotajou,Panpour,Pokémon
Flotoutan,Simipour,Pokémon
Munna,Munna,Pokémon
Mushana,Musharna,Pokémon
Poichigeon,Pidove,Pokémon
Colombeau,Tranquill,Pokémon
Déflaisan,Unfezant,Pokémon
Zébibron,Blitzle,Pokémon
Zéblitz,Zebstrika,Pokémon
Nodulithe,Roggenrola,Pokémon
Géolithe,Boldore,Pokémon
Gigalithe,Gigalith,Pokémon
Chovsourir,Woobat,Pokémon
Rhinolove,Swoobat,Pokémon
Rototaupe,Drilbur,Pokémon
Minotaupe,Excadrill,Pokémon
Nanméouïe,Audino,Pokémon
Charpenti,Timburr,Pokémon
Ouvrifier,Gurdurr,Pokémon
Bétochef,Conkeldurr,Pokémon
Tritonde,Tympole,Pokémon
Batracné,Palpitoad,Pokémon
Crapustule,Seismitoad,Pokémon
Judokrak,Throh,Pokémon
Karaclée,Sawk,Pokémon
Larveyette,Sewaddle,Pokémon
Couverdure,Swadloon,Pokémon
Manternel,Leavanny,Pokémon
Venipatte,Venipede,Pokémon
Scobolide,Whirlipede,Pokémon
Brutapode,Scolipede,Pokémon
Doudouvet,Cottonee,Pokémon
Farfaduvet,Whimsicott,Pokémon
Chlorobule,Petilil,Pokémon
Fragilady,Lilligant,Pokémon
Bargantua,Basculin,Pokémon
Mascaïman,Sandile,Pokémon
Escroco,Krokorok,Pokémon
Crocorible,Krookodile,Pokémon
Darumarond,Darumaka,Pokémon
Darumacho,Darmanitan,Pokémon
Maracachi,Maractus,Pokémon
Crabicoque,Dwebble,Pokémon
Crabaraque,Crustle,Pokémon
Baggiguane,Scraggy,Pokémon
Baggaïd,Scrafty,Pokémon
Cryptéro,Sigilyph,Pokémon
Tutafeh,Yamask,Pokémon
Tutankafer,Cofagrigus,Pokémon
Carapagos,Tirtouga,Pokémon
Mégapagos,Carracosta,Pokémon
Arkéapti,Archen,Pokémon
Aéroptéryx,Archeops,Pokémon
Miamiasme,Trubbish,Pokémon
Miasmax,Garbodor,Pokémon
Zorua,Zorua,Pokémon
Zoroark,Zoroark,Pokémon
Chinchidou,Minccino,Pokémon
Pashmilla,Cinccino,Pokémon
Scrutella,Gothita,Pokémon
Mesmérella,Gothorita,Pokémon
Sidérella,Gothitelle,Pokémon
Nucléos,Solosis,Pokémon
Méios,Duosion,Pokémon
Symbios,Reuniclus,Pokémon
Couaneton,Ducklett,Pokémon
Lakmécygne,Swanna,Pokémon
Sorbébé,Vanillite,Pokémon
Sorboul,Vanillish,Pokémon
Sorbouboul,Vanilluxe,Pokémon
Vivaldaim,Deerling,Pokémon
Haydaim,Sawsbuck,Pokémon
Emolga,Emolga,Pokémon
Carabing,Karrablast,Pokémon
Lançargot,Escavalier,Pokémon
Trompignon,Foongus,Pokémon
Gaulet,Amoonguss,Pokémon
Viskuse,Frillish,Pokémon
Moyade,Jellicent,Pokémon
Mamanbo,Alomomola,Pokémon
Statitik,Joltik,Pokémon
Mygavolt,Galvantula,Pokémon
Grindur,Ferroseed,Pokémon
Noacier,Ferrothorn,Pokémon
Tic,Klink,Pokémon
Clic,Klang,Pokémon
Cliticlic,Klinklang,Pokémon
Anchwatt,Tynamo,Pokémon
Lampéroie,Eelektrik,Pokémon
Ohmassacre,Eelektross,Pokémon
Lewsor,Elgyem,Pokémon
Neitram,Beheeyem,Pokémon
Funécire,Litwick,Pokémon
Mélancolux,Lampent,Pokémon
Lugulabre,Chandelure,Pokémon
Coupenotte,Axew,Pokémon
Incisache,Fraxure,Pokémon
Tranchodon,Haxorus,Pokémon
Polarhume,Cubchoo,Pokémon
Polagriffe,Beartic,Pokémon
Hexagel,Cryogonal,Pokémon
Escargaume,Shelmet,Pokémon
Limaspeed,Accelgor,Pokémon
Limonde,Stunfisk,Pokémon
Kungfouine,Mienfoo,Pokémon
Shaofouine,Mienshao,Pokémon
Drakkarmin,Druddigon,Pokémon
Gringolem,Golett,Pokémon
Golemastoc,Golurk,Pokémon
Scalpion,Pawniard,Pokémon
Scalproie,Bisharp,Pokémon
Frison,Bouffalant,Pokémon
Furaiglon,Rufflet,Pokémon
Gueriaigle,Braviary,Pokémon
Vostourno,Vullaby,Pokémon
Vaututrice,Mandibuzz,Pokémon
Aflamanoir,Heatmor,Pokémon
Fermite,Durant,Pokémon
Solochi,Deino,Pokémon
Diamat,Zweilous,Pokémon
Trioxhydre,Hydreigon,Pokémon
Pyronille,Larvesta,Pokémon
Pyrax,Volcarona,Pokémon
Cobaltium,Cobalion,Pokémon
Terrakium,Terrakion,Pokémon
Viridium,Virizion,Pokémon
Boréas,Tornadus,Pokémon
Fulguris,Thundurus,Pokémon
Reshiram,Reshiram,Pokémon
Zekrom,Zekrom,Pokémon
Démétéros,Landorus,Pokémon
Kyurem,Kyurem,Pokémon
Keldeo,Keldeo,Pokémon
Meloetta,Meloetta,Pokémon
Genesect,Genesect,Pokémon
Marisson,Chespin,Pokémon
Boguérisse,Quilladin,Pokémon
Blindépique,Chesnaught,Pokémon
Feunnec,Fennekin,Pokémon
Roussil,Braixen,Pokémon
Goupelin,Delphox,Pokémon
Grenousse,Froakie,Pokémon
Croâporal,Frogadier,Pokémon
Amphinobi,Greninja,Pokémon
Sapereau,Bunnelby,Pokémon
Excavarenne,Diggersby,Pokémon
Passerouge,Fletchling,Pokémon
Braisillon,Fletchinder,Pokémon
Flambusard,Talonflame,Pokémon
Lépidonille,Scatterbug,Pokémon
Pérégrain,Spewpa,Pokémon
Prismillon,Vivillon,Pokémon
Hélionceau,Litleo,Pokémon
Némélios,Pyroar,Pokémon
Flabébé,Flabébé,Pokémon
Floette,Floette,Pokémon
Florges,Florges,Pokémon
Cabriolaine,Skiddo,Pokémon
Chevroum,Gogoat,Pokémon
Pandespiègle,Pancham,Pokémon
Pandarbare,Pangoro,Pokémon
Couafarel,Furfrou,Pokémon
Psystigri,Espurr,Pokémon
Mistigrix,Meowstic,Pokémon
Monorpale,Honedge,Pokémon
Dimoclès,Doublade,Pokémon
Exagide,Aegislash,Pokémon
Fluvetin,Spritzee,Pokémon
Cocotine,Aromatisse,Pokémon
Sucroquin,Swirlix,Pokémon
Cupcanaille,Slurpuff,Pokémon
Sepiatop,Inkay,Pokémon
Sepiatroce,Malamar,Pokémon
Opermine,Binacle,Pokémon
Golgopathe,Barbaracle,Pokémon
Venalgue,Skrelp,Pokémon
Kravarech,Dragalge,Pokémon
Flingouste,Clauncher,Pokémon
Gamblast,Clawitzer,Pokémon
Galvaran,Helioptile,Pokémon
Iguolta,Heliolisk,Pokémon
Ptyranidur,Tyrunt,Pokémon
Rexillius,Tyrantrum,Pokémon
Amagara,Amaura,Pokémon
Dragmara,Aurorus,Pokémon
Nymphali,Sylveon,Pokémon
Brutalibré,Hawlucha,Pokémon
Dedenne,Dedenne,Pokémon
Strassie,Carbink,Pokémon
Mucuscule,Goomy,Pokémon
Colimucus,Sliggoo,Pokémon
Muplodocus,Goodra,Pokémon
Trousselin,Klefki,Pokémon
Brocélôme,Phantump,Pokémon
Desséliande,Trevenant,Pokémon
Pitrouille,Pumpkaboo,Pokémon
Banshitrouye,Gourgeist,Pokémon
Grelaçon,Bergmite,Pokémon
Séracrawl,Avalugg,Pokémon
Sonistrelle,Noibat,Pokémon
Bruyverne,Noivern,Pokémon
Xerneas,Xerneas,Pokémon
Yveltal,Yveltal,Pokémon
Zygarde,Zygarde,Pokémon
Diancie,Diancie,Pokémon
Hoopa,Hoopa,Pokémon
Volcanion,Volcanion,Pokémon
Brindibou,Rowlet,Pokémon
Efflèche,Dartrix,Pokémon
Archéduc,Decidueye,Pokémon
Flamiaou,Litten,Pokémon
Matoufeu,Torracat,Pokémon
Félinferno,Incineroar,Pokémon
Otaquin,Popplio,Pokémon
Otarlette,Brionne,Pokémon
Oratoria,Primarina,Pokémon
Picassaut,Pikipek,Pokémon
Piclairon,Trumbeak,Pokémon
Bazoucan,Toucannon,Pokémon
Manglouton,Yungoos,Pokémon
Argouste,Gumshoos,Pokémon
Larvibule,Grubbin,Pokémon
Chrysapile,Charjabug,Pokémon
Lucanon,Vikavolt,Pokémon
Crabagarre,Crabrawler,Pokémon
Crabominable,Crabominable,Pokémon
Plumeline,Oricorio,Pokémon
Bombydou,Cutiefly,Pokémon
Rubombelle,Ribombee,Pokémon
Rocabot,Rockruff,Pokémon
Lougaroc,Lycanroc,Pokémon
Froussardine,Wishiwashi,Pokémon
Vorastérie,Mareanie,Pokémon
Prédastérie,Toxapex,Pokémon
Tiboudet,Mudbray,Pokémon
Bourrinos,Mudsdale,Pokémon
Araqua,Dewpider,Pokémon
Tarenbulle,Araquanid,Pokémon
Mimantis,Fomantis,Pokémon
Floramantis,Lurantis,Pokémon
Spododo,Morelull,Pokémon
Lampignon,Shiinotic,Pokémon
Tritox,Salandit,Pokémon
Malamandre,Salazzle,Pokémon
Nounourson,Stufful,Pokémon
Chelours,Bewear,Pokémon
Croquine,Bounsweet,Pokémon
Candine,Steenee,Pokémon
Sucreine,Tsareena,Pokémon
Guérilande,Comfey,Pokémon
Gouroutan,Oranguru,Pokémon
Quartermac,Passimian,Pokémon
Sovkipou,Wimpod,Pokémon
Sarmuraï,Golisopod,Pokémon
Bacabouh,Sandygast,Pokémon
Trépassable,Palossand,Pokémon
Concombaffe,Pyukumuku,Pokémon
Type:0,Type: Null,Pokémon
Silvallié,Silvally,Pokémon
Météno,Minior,Pokémon
Dodoala,Komala,Pokémon
Boumata,Turtonator,Pokémon
Togedemaru,Togedemaru,Pokémon
Mimiqui,Mimikyu,Pokémon
Denticrisse,Bruxish,Pokémon
Draïeul,Drampa,Pokémon
Sinistrail,Dhelmise,Pokémon
Bébécaille,Jangmo-o,Pokémon
Écaïd,Hakamo-o,Pokémon
Ékaïser,Kommo-o,Pokémon
Tokorico,Tapu Koko,Pokémon
Tokopiyon,Tapu Lele,Pokémon
Tokotoro,Tapu Bulu,Pokémon
Tokopisco,Tapu Fini,Pokémon
Cosmog,Cosmog,Pokémon
Cosmovum,Cosmoem,Pokémon
Solgaleo,Solgaleo,Pokémon
Lunala,Lunala,Pokémon
Zéroïd,Nihilego,Pokémon
Mouscoto,Buzzwole,Pokémon
Cancrelove,Pheromosa,Pokémon
Câblifère,Xurkitree,Pokémon
Bamboiselle,Celesteela,Pokémon
Katagami,Kartana,Pokémon
Engloutyran,Guzzlord,Pokémon
Necrozma,Necrozma,Pokémon
Magearna,Magearna,Pokémon
Marshadow,Marshadow,Pokémon
Vémini,Poipole,Pokémon
Mandrillon,Naganadel,Pokémon
Ama-Ama,Stakataka,Pokémon
Pierroteknik,Blacephalon,Pokémon
Zeraora,Zeraora,Pokémon
Meltan,Meltan,Pokémon
Melmetal,Melmetal,Pokémon
Ouistempo,Grookey,Pokémon
Badabouin,Thwackey,Pokémon
Gorythmic,Rillaboom,Pokémon
Flambino,Scorbunny,Pokémon
Lapyro,Raboot,Pokémon
Pyrobut,Cinderace,Pokémon
Larméléon,Sobble,Pokémon
Arrozard,Drizzile,Pokémon
Lézargus,Inteleon,Pokémon
Rongourmand,Skwovet,Pokémon
Rongrigou,Greedent,Pokémon
Minisange,Rookidee,Pokémon
Bleuseille,Corvisquire,Pokémon
Corvaillus,Corviknight,Pokémon
Larvadar,Blipbug,Pokémon
Coléodôme,Dottler,Pokémon
Astronelle,Orbeetle,Pokémon
Goupilou,Nickit,Pokémon
Roublenard,Thievul,Pokémon
Tournicoton,Gossifleur,Pokémon
Blancoton,Eldegoss,Pokémon
Moumouton,Wooloo,Pokémon
Moumouflon,Dubwool,Pokémon
Khélocrok,Chewtle,Pokémon
Torgamord,Drednaw,Pokémon
Voltoutou,Yamper,Pokémon
Fulgudog,Boltund,Pokémon
Charbi,Rolycoly,Pokémon
Wagomine,Carkol,Pokémon
Monthracite,Coalossal,Pokémon
Verpom,Applin,Pokémon
Pomdrapi,Flapple,Pokémon
Dratatin,Appletun,Pokémon
Dunaja,Silicobra,Pokémon
Dunaconda,Sandaconda,Pokémon
Nigosier,Cramorant,Pokémon
Embrochet,Arrokuda,Pokémon
Hastacuda,Barraskewda,Pokémon
Toxizap,Toxel,Pokémon
Salarsen,Toxtricity,Pokémon
Grillepattes,Sizzlipede,Pokémon
Scolocendre,Centiskorch,Pokémon
Poulpaf,Clobbopus,Pokémon
Krakos,Grapploct,Pokémon
Théffroi,Sinistea,Pokémon
Polthégeist,Polteageist,Pokémon
Bibichut,Hatenna,Pokémon
Chapotus,Hattrem,Pokémon
Sorcilence,Hatterene,Pokémon
Grimalin,Impidimp,Pokémon
Fourbelin,Morgrem,Pokémon
Angoliath,Grimmsnarl,Pokémon
Ixon,Obstagoon,Pokémon
Berserkatt,Perrserker,Pokémon
Corayôme,Cursola,Pokémon
Palarticho,Sirfetch'd,Pokémon
M. Glaquette,Mr. Rime,Pokémon
Tutétékri,Runerigus,Pokémon
Crèmy,Milcery,Pokémon
Charmilly,Alcremie,Pokémon
Hexadron,Falinks,Pokémon
Wattapik,Pincurchin,Pokémon
Frissonille,Snom,Pokémon
Beldeneige,Frosmoth,Pokémon
Dolman,Stonjourner,Pokémon
Bekaglaçon,Eiscue,Pokémon
Wimessir,Indeedee,Pokémon
Morpeko,Morpeko,Pokémon
Charibari,Cufant,Pokémon
Pachyradjah,Copperajah,Pokémon
Galvagon,Dracozolt,Pokémon
Galvagla,Arctozolt,Pokémon
Hydragon,Dracovish,Pokémon
Hydragla,Arctovish,Pokémon
Duralugon,Duraludon,Pokémon
Fantyrm,Dreepy,Pokémon
Dispareptil,Drakloak,Pokémon
Lanssorien,Dragapult,Pokémon
Zacian,Zacian,Pokémon
Zamazenta,Zamazenta,Pokémon
Éthernatos,Eternatus,Pokémon
Wushours,Kubfu,Pokémon
Shifours,Urshifu,Pokémon
Zarude,Zarude,Pokémon
Regieleki,Regieleki,Pokémon
Regidrago,Regidrago,Pokémon
Blizzeval,Glastrier,Pokémon
Spectreval,Spectrier,Pokémon
Sylveroy,Calyrex,Pokémon
Cerbyllin,Wyrdeer,Pokémon
Hachécateur,Kleavor,Pokémon
Ursaking,Ursaluna,Pokémon
Paragruel,Basculegion,Pokémon
Farfurex,Sneasler,Pokémon
Qwilpik,Overqwil,Pokémon
Amovénus,Enamorus,Pokémon
Poussacha,Sprigatito,Pokémon
Matourgeon,Floragato,Pokémon
Miascarade,Meowscarada,Pokémon
Chochodile,Fuecoco,Pokémon
Crocogril,Crocalor,Pokémon
Flâmigator,Skeledirge,Pokémon
Coiffeton,Quaxly,Pokémon
